顺序,名称,类型,通道号,源信号最小值,源信号最大值,目标信号最小值,目标信号最大值,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10
0,压缩机/冷水机组出口制冷剂温度,温度,101,1,5,1,5,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
1,冷凝器进口制冷剂气体温度,温度,102,1,5,1,5,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
2,冷凝器出口制冷剂液体温度,温度,103,1,5,1,5,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
3,膨胀阀前制冷剂液体温度,温度,104,1,5,1,5,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
4,量热器出口制冷剂气体温度,温度,105,1,5,1,5,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
5,压缩机/冷水机组入口制冷剂温度,电压,106,1,5,-50,50,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
6,环境温度,温度,107,1,5,1,5,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
7,冷却水进口温度,温度,108,1,5,1,5,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
8,冷却水出口温度,温度,109,1,5,1,5,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
9,冷凝机组冷却水出水温度,电压,201,1,5,0,50,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
10,压缩机箱温度,温度,203,1,5,1,5,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
11,压缩机扭矩,电压,204,-10,10,-113,113,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
12,压缩机/冷水机组出口制冷剂压力,电压,205,0,5,0,2.5,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
13,冷凝器进口制冷剂气体压力,电压,206,1,5,0,2.5,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
14,冷凝器出口制冷剂液体压力,电压,207,1,5,0,2.5,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
15,膨胀阀前制冷剂液体压力,电压,208,1,5,0,2.5,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
16,量热器第二制冷剂压力,电压,209,1,5,0,1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
17,量热器出口制冷剂气体压力,电压,210,1,5,0,1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
18,压缩机/冷水机组入口制冷剂压力,电压,215,0,5,0,1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
19,压缩机转速,电压,216,0,10,0,6000,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
20,压差传感器（电压）,电压,218,1,5,0,0.1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
21,恒温水槽回水流量,电压,219,1,5,0,3,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
22,量热器输入功率,电流,220,1,5,0,20,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
